dataset,DecisionTree,SVM,KNN,LogisticRegression,Perceptron,MLP,time_seconds
Touch2,0.6641509433962264,0.7622641509433963,0.7056603773584905,0.7358490566037735,0.5773584905660376,0.8037735849056606,2.75
penguins,0.9738704177323104,0.9913043478260869,0.9942028985507246,0.9913043478260869,0.9884057971014493,0.9884057971014493,0.98
titanic,0.955684244391799,0.9396361615629845,0.9029715422187126,0.9495744494165133,0.9312362902518206,0.9587259805211896,6.95
ricci_vs_destefano,1.0,0.9315217391304348,0.8471014492753624,0.9742753623188406,0.9829710144927537,0.9829710144927537,0.82
students_scores,0.818,0.8789999999999999,0.769,0.892,0.851,0.8789999999999999,6.89
1StudentPerfromance,0.818,0.8789999999999999,0.769,0.892,0.851,0.8789999999999999,6.92
Loan-Predication,0.6954818072770892,0.8029588164734107,0.7850726376116219,0.8045981607357058,0.7150739704118353,0.7525256564041051,5.14
Zombies-Apocalypse,0.685,0.8350000000000002,0.8150000000000001,0.85,0.82,0.8099999999999999,1.26
ibm-employee-attrition,0.7829931972789115,0.8598639455782313,0.8414965986394558,0.8680272108843538,0.8034013605442178,0.8482993197278912,7.54
ibm-employee-performance,1.0,0.9666666666666666,0.8891156462585034,0.9925170068027211,0.9789115646258504,0.9707482993197278,3.83
car_evaluation,0.9762720951662898,0.9039306358381503,0.9415565049845019,0.6892167211192092,0.6510614057133284,0.9878411661221411,8.02
Heart_disease_prediction_20,0.7363276836158191,0.8277966101694915,0.8244067796610169,0.8344067796610168,0.7602824858757062,0.8108474576271186,2.58
qsar,0.7962085308056872,0.875829383886256,0.8530805687203792,0.8578199052132701,0.8407582938388625,0.872037914691943,11.83
Tour-and-Travels-Customer-Churn-Prediction,0.8962193441719482,0.8207384954532928,0.8574152659134748,0.7924607329842932,0.7516009920088178,0.861620281069165,6.92
MIC,0.8198968407479045,0.8641632126738511,0.8544644008473796,0.8702293451229621,0.8435460992907802,0.876901538178134,7.67
doa_bwin_balanced,0.6469483568075118,0.6327439816202176,0.6355808610528418,0.6200279692338428,0.5423334332234543,0.6934771751073819,5.54
bwin_amlb,0.5867924528301887,0.6773584905660377,0.6094339622641509,0.6622641509433962,0.5415094339622641,0.6320754716981132,3.81
German-Credit-Risk-with-Target,0.6759999999999999,0.748,0.708,0.728,0.692,0.728,6.96
Flare,0.7288798209819666,0.7429774911149137,0.7007415207757448,0.7626563117019877,0.6454082751963494,0.7391996840858234,7.18
mabbob_ela_as_2d_classify,0.4714285714285714,0.5964285714285714,0.5428571428571429,0.5767857142857143,0.46517857142857144,0.5482142857142857,13.69
mabbob_ela_as_5d_classify,0.6008928571428571,0.6696428571428572,0.6339285714285714,0.6821428571428572,0.5625,0.6285714285714286,12.73
